position(x) position(y) position(z)
-11517524.254041 10051566.487675 -21661124.554303
-11728955.444331 9873864.192912 -21629194.954086
-11941082.378254 9697663.724330 -21592639.215668
-12153848.742833 9523003.103090 -21551465.084155
-12367197.577164 9349919.280401 -21505681.298066
-12581071.297450 9178448.122182 -21455297.587491
-12795411.722354 9008624.394258 -21400324.672029
-13010160.098662 8840481.748107 -21340774.258510
-13225257.127239 8674052.707169 -21276659.038489
-13440642.989278 8509368.653717 -21207992.685531
-13656257.372810 8346459.816287 -21134789.852270
-13872039.499481 8185355.257703 -21057066.167257
-14087928.151569 8026082.863665 -20974838.231583
-14303861.699241 7868669.331937 -20888123.615295
-14519778.128018 7713140.162119 -20796940.853589
-14735615.066459 7559519.646017 -20701309.442793
-14951309.814028 7407830.858623 -20601249.836133
-15166799.369147 7258095.649686 -20496783.439291
-15382020.457411 7110334.635906 -20387932.605747
-15596909.559955 6964567.193735 -20274720.631911
-15811402.941961 6820811.452796 -20157171.752050
-16025436.681290 6679084.289920 -20035311.133001
-16238946.697223 6539401.323811 -19909164.868682
-16451868.779297 6401776.910327 -19778759.974392
-16664138.616229 6266224.138402 -19644124.380911
-16875691.824903 6132754.826580 -19505286.928398
-17086463.979415 6001379.520192 -19362277.360082
-17296390.640160 5872107.489161 -19215126.315756
-17505407.382937 5744946.726439 -19063865.325077
-17713449.828080 5619903.947076 -18908526.800659
-17920453.669572 5496984.587926 -18749144.030983
-18126354.704158 5376192.807983 -18585751.173099
-18331088.860413 5257531.489349 -18418383.245154
-18534592.227779 5141002.238840 -18247076.118711
-18736801.085536 5026605.390217 -18071866.510894
-18937651.931701 4914340.007050 -17892791.976341
-19137081.511847 4804203.886209 -17709890.898972
-19335026.847811 4696193.561985 -17523202.483576
-19531425.266301 4590304.310827 -17332766.747216
-19726214.427361 4486530.156708 -17138624.510460
-19919332.352708 4384863.877111 -16940817.388428
-20110717.453900 4285297.009618 -16739387.781675
-20300308.560348 4187819.859130 -16534378.866887
-20488044.947132 4092421.505677 -16325834.587427
-20673866.362633 3999089.812842 -16113799.643693
-20857713.055949 3907811.436786 -15898319.483329
-21039525.804085 3818571.835861 -15679440.291258
-21219245.938918 3731355.280819 -15457208.979563
-21396815.373900 3646144.865603 -15231673.177210
-21572176.630511 3562922.518718 -15002881.219609
-21745272.864426 3481669.015176 -14770882.138031
-21916047.891407 3402363.989009 -14535725.648865
-22084446.212884 3324985.946340 -14297462.142731
-22250413.041230 3249512.279011 -14056142.673450
-22413894.324711 3175919.278757 -13811818.946868
-22574836.772103 3104182.151923 -13564543.309539
-22733187.876949 3034275.034707 -13314368.737270
-22888895.941473 2966171.008937 -13061348.823536
-23041910.100110 2899842.118358 -12805537.767760
-23192180.342657 2835259.385429 -12546990.363457
-23339657.537037 2772392.828625 -12285761.986265
-23484293.451647 2711211.480220 -12021908.581839
-23626040.777297 2651683.404568 -11755486.653633
-23764853.148728 2593775.716842 -11486553.250558
-23900685.165682 2537454.602245 -11215165.954531
-24033492.413538 2482685.335677 -10941382.867905
-24163231.483486 2429432.301839 -10665262.600793
-24289859.992234 2377659.015777 -10386864.258289
-24413336.601243 2327328.143849 -10106247.427579
-24533621.035482 2278401.525105 -9823472.164955
-24650674.101680 2230840.193071 -9538598.982735
-24764457.706082 2184604.397918 -9251688.836081
-24874934.871702 2139653.629026 -8962803.109733
-24982069.755041 2095946.637902 -8672003.604652
-25085827.662295 2053441.461467 -8379352.524577
-25186175.065022 2012095.445686 -8084912.462502
-25283079.615267 1971865.269530 -7788746.387072
-25376510.160142 1932706.969264 -7490917.628907
-25466436.755850 1894575.963049 -7191489.866852
-25552830.681146 1857427.075833 -6890527.114153
-25635664.450233 1821214.564538 -6588093.704574
-25714911.825078 1785892.143514 -6284254.278447
-25790547.827160 1751413.010261 -5979073.768665
-25862548.748618 1717729.871390 -5672617.386611
-25930892.162822 1684794.968826 -5364950.608048
-25995556.934341 1652560.106235 -5056139.158941
-26056523.228315 1620976.675654 -4746249.001249
-26113772.519221 1589995.684323 -4435346.318657
-26167287.599033 1559567.781696 -4123497.502286
-26217052.584769 1529643.286627 -3810769.136346
-26263052.925425 1500172.214705 -3497227.983770
-26305275.408288 1471104.305739 -3182940.971813
-26343708.164632 1442389.051367 -2867975.177618
-26378340.674788 1413975.722787 -2552397.813763
-26409163.772587 1385813.398581 -2236276.213789
-26436169.649185 1357850.992636 -1919677.817705
-26459351.856242 1330037.282135 -1602670.157479
-26478705.308492 1302320.935614 -1285320.842519
-26494226.285662 1274650.541058 -967697.545149
-26505912.433777 1246974.634038 -649867.986074
-26513762.765815 1219241.725865 -331899.919846
-26517777.661748 1191400.331752 -13861.120331
-26517958.867938 1163398.998962 304180.633817
-26514309.495908 1135186.334943 622157.573679
-26506834.020478 1106711.035423 940001.954579
-26495538.277281 1077921.912456 1257646.070579
-26480429.459637 1048767.922406 1575022.268958
-26461516.114818 1019198.193856 1892062.964668
-26438808.139673 989162.055428 2208700.654771
-26412316.775643 958609.063492 2524867.932844
-26382054.603152 927489.029771 2840497.503356
-26348035.535386 895752.048806 3155522.196017
-26310274.811451 863348.525279 3469874.980083
-26268788.988934 830229.201185 3783488.978627
-26223595.935849 796345.182824 4096297.482768
-26174714.821990 761647.967620 4408233.965853
-26122166.109677 726089.470739 4719232.097593
-26065971.543922 689622.051500 5029225.758146
-26006154.142001 652198.539558 5338149.052148
-25942738.182444 613772.260867 5645936.322684
-25875749.193454 574297.063379 5952522.165205
-25805213.940747 533727.342499 6257841.441375
-25731160.414842 492018.066255 6561829.292856
-25653617.817776 449124.800198 6864421.155025
-25572616.549279 405003.731996 7165552.770621
-25488188.192405 359611.695725 7465160.203311
-25400365.498618 312906.195842 7763179.851189
-25309182.372352 264845.430823 8059548.460184
-25214673.855053 215388.316467 8354203.137396
-25116876.108698 164494.508836 8647081.364342
-25015826.398816 112124.426844 8938121.010110
-24911563.077005 58239.274458 9227260.344432
-24804125.562957 2801.062526 9514438.050653
-24693554.326017 -54227.369802 9799593.238613
-24579890.866247 -112882.334050 10082665.457428
-24463177.695052 -173199.271814 10363594.708163
-24343458.315330 -235212.734582 10642321.456412
-24220777.201197 -298956.363996 10918786.644769
-24095179.777270 -364462.872545 11192931.705182
-23966712.397523 -431764.024733 11464698.571208
-23835422.323735 -500890.618688 11734029.690146
-23701357.703537 -571872.468260 12000868.035058
-23564567.548058 -644738.385589 12265157.116673
-23425101.709198 -719516.164165 12526840.995164
-23283010.856526 -796232.562387 12785864.291811
-23138346.453818 -874913.287622 13042172.200532
-22991160.735248 -955582.980776 13295710.499288
-22841506.681243 -1038265.201388 13546425.561360
-22689437.994010 -1122982.413250 13794264.366498
-22535009.072754 -1209755.970553 14039174.511923
-22378274.988584 -1298606.104580 14281104.223210
-22219291.459147 -1389551.910943 14520002.365019
-22058114.822964 -1482611.337371 14755818.451694
-21894802.013514 -1577801.172052 14988502.657717
-21729410.533064 -1675137.032548 15218005.828016
-21561998.426251 -1774633.355264 15444279.488132
-21392624.253444 -1876303.385504 15667275.854233
-21221347.063885 -1980159.168095 15886947.842980
-21048226.368632 -2086211.538597 16103249.081242
-20873322.113308 -2194470.115100 16316133.915656
-20696694.650677 -2304943.290610 16525557.422034
-20518404.713051 -2417638.226025 16731475.414610
-20338513.384554 -2532560.843717 16933844.455128
-20157082.073241 -2649715.821702 17132621.861775
-19974172.483096 -2769106.588424 17327765.717946
-19789846.585919 -2890735.318134 17519234.880845
-19604166.593111 -3014602.926884 17706988.989929
-19417194.927385 -3140709.069124 17890988.475173
-19228994.194389 -3269052.134912 18071194.565178
-19039627.154286 -3399629.247736 18247569.295100
-18849156.693284 -3532436.262951 18420075.514418
-18657645.795131 -3667467.766819 18588676.894517
-18465157.512598 -3804717.076177 18753337.936109
-18271754.938956 -3944176.238709 18914023.976471
-18077501.179459 -4085836.033834 19070701.196509
-17882459.322854 -4229685.974209 19223336.627646
-17686692.412924 -4375714.307841 19371898.158529
-17490263.420076 -4523908.020815 19516354.541556
-17293235.213005 -4674252.840627 19656675.399220
-17095670.530414 -4826733.240129 19792831.230279
-16897631.952840 -4981332.442077 19924793.415727
-16699181.874573 -5138032.424291 20052534.224600
-16500382.475694 -5296813.925405 20176026.819579
-16301295.694234 -5457656.451225 20295245.262419
-16101983.198487 -5620538.281682 20410164.519184
-15902506.359464 -5785436.478374 20520760.465293
-15702926.223520 -5952326.892701 20627009.890387
-15503303.485165 -6121184.174584 20728890.502992
-15303698.460056 -6291981.781764 20826380.935002
-15104171.058202 -6464691.989679 20919460.745966
-14904780.757386 -6639285.901915 21008110.427186
-14705586.576815 -6815733.461221 21092311.405618
-14506647.051010 -6994003.461087 21172046.047583
-14308020.203952 -7174063.557883 21247297.662284
-14109763.523495 -7355880.283537 21318050.505127
-13911933.936056 -7539419.058777 21384289.780849
-13714587.781592 -7724644.206892 21446001.646451
-13517780.788882 -7911518.968038 21503173.213927
-13321568.051119 -8100005.514068 21555792.552813
-13126004.001828 -8290064.963874 21603848.692521
-12931142.391115 -8481657.399247 21647331.624493
-12737036.262269 -8674741.881243 21686232.304141
-12543737.928711 -8869276.467035 21720542.652605
-12351298.951321 -9065218.227266 21750255.558301
-12159770.116135 -9262523.263875 21775364.878282
-11969201.412433 -9461146.728393 21795865.439388
-11779642.011226 -9661042.840715 21811753.039210
-11591140.244150 -9862164.908310 21823024.446851
-11403743.582779 -10064465.345891 21829677.403483
-11217498.618362 -10267895.695513 21831710.622716
-11032451.042005 -10472406.647102 21829123.790760
-10848645.625288 -10677948.059404 21821917.566393
-10666126.201342 -10884468.981335 21810093.580733
-10484935.646395 -11091917.673735 21793654.436802
-10305115.861778 -11300241.631512 21772603.708904
-10126707.756424 -11509387.606154 21746945.941799
-9949751.229842 -11719301.628619 21716686.649679
-9774285.155600 -11929929.032576 21681832.314948
-9600347.365300 -12141214.477991 21642390.386809
-9427974.633076 -12353101.975052 21598369.279645
-9257202.660597 -12565534.908411 21549778.371212
-9088066.062605 -12778456.061747 21496628.000636
-8920598.352979 -12991807.642626 21438929.466207
-8754831.931340 -13205531.307643 21376695.022985
-8590798.070199 -13419568.187858 21309937.880211
-8428526.902651 -13633858.914482 21238672.198522
-8268047.410632 -13848343.644825 21162913.086972
-8109387.413730 -14062962.088488 21082676.599861
-7952573.558566 -14277653.533777 20997979.733375
-7797631.308742 -14492356.874341 20908840.422030
-7644584.935368 -14707010.636013 20815277.534929
-7493457.508168 -14921553.003843 20717310.871824
-7344270.887165 -15135921.849313 20614961.158995
-7197045.714959 -15350054.757716 20508250.044937
-7051801.409596 -15563889.055694 20397200.095856
-6908556.158021 -15777361.838916 20281834.790991
-6767326.910145 -15990409.999883 20162178.517731
-6628129.373493 -16202970.255856 20038256.566565
-6490978.008470 -16414979.176873 19910095.125837
-6355886.024221 -16626373.213878 19777721.276324
-6222865.375099 -16837088.726903 19641162.985627
-6091926.757743 -17047062.013333 19500449.102386
-5963079.608762 -17256229.336214 19355609.350313
-5836332.103032 -17464526.952595 19206674.322046
-5711691.152597 -17671891.141902 19053675.472825
-5589162.406188 -17878258.234320 18896645.113997
-5468750.249348 -18083564.639171 18735616.406338
-5350457.805170 -18287746.873283 18570623.353205
-5234286.935646 -18490741.589321 18401700.793518
-5120238.243619 -18692485.604088 18228884.394568
-5008311.075357 -18892915.926762 18052210.644653
-4898503.523719 -19091969.787069 17871716.845552
-4790812.431936 -19289584.663377 17687441.104825
-4685233.397995 -19485698.310690 17499422.327951
-4581760.779622 -19680248.788543 17307700.210304
-4480387.699865 -19873174.488769 17112315.228959
-4381106.053277 -20064414.163137 16913308.634346
-4283906.512686 -20253906.950845 16710722.441737
-4188778.536563 -20441592.405850 16504599.422580
-4095710.376970 -20627410.524034 16294983.095673
-4004689.088098 -20811301.770173 16081917.718187
-3915700.535377 -20993207.104724 15865448.276531
-3828729.405165 -21173068.010391 15645620.477074
-3743759.215010 -21350826.518476 15422480.736704
-3660772.324467 -21526425.234993 15196076.173256
-3579749.946486 -21699807.366533 14966454.595777
-3500672.159351 -21870916.745877 14733664.494664
-3423517.919162 -22039697.857336 14497755.031641
-3348265.072874 -22206095.861801 14258776.029612
-3274890.371856 -22370056.621512 14016777.962368
-3203369.485995 -22531526.724510 13771811.944153
-3133677.018317 -22690453.508779 13523929.719106
-3065786.520122 -22846785.086052 13273183.650563
-2999670.506639 -23000470.365288 13019626.710227
-2935300.473174 -23151459.075784 12763312.467217
-2872646.911756 -23299701.789937 12504295.076982
-2811679.328272 -23445149.945630 12242629.270094
-2752366.260075 -23587755.868229 11978370.340922
-2694675.294072 -23727472.792196 11711574.136182
-2638573.085264 -23864254.882289 11442297.043366
-2584025.375746 -23998057.254357 11170595.979063
-2530997.014149 -24128835.995704 10896528.377160
-2479451.975513 -24256548.185024 10620152.176934
-2429353.381595 -24381151.911890 10341525.811035
-2380663.521584 -24502606.295795 10060708.193363
-2333343.873226 -24620871.504726 9777758.706837
-2287355.124347 -24735908.773278 9492737.191065
-2242657.194756 -24847680.420274 9205703.929915
-2199209.258532 -24956149.865917 8916719.638986
-2156969.766667 -25061281.648427 8625845.452985
-2115896.470071 -25163041.440192 8333142.913011
-2075946.442917 -25261396.063397 8038673.953753
-2037076.106318 -25356313.505139 7742500.890591
-1999241.252323 -25447762.932013 7444686.406625
-1962397.068232 -25535714.704174 7145293.539607
-1926498.161196 -25620140.388845 6844385.668806
-1891498.583113 -25701012.773294 6542026.501788
-1857351.855796 -25778305.877247 6238280.061123
-1824010.996400 -25851994.964750 5933210.671019
-1791428.543108 -25922056.555463 5626882.943888
-1759556.581046 -25988468.435385 5319361.766844
-1728346.768430 -26051209.667005 5010712.288138
-1697750.362924 -26110260.598874 4700999.903528
-1667718.248198 -26165602.874588 4390290.242594
-1638200.960679 -26217219.441186 4078649.154995
-1609148.716471 -26265094.556954 3766142.696671
-1580511.438444 -26309213.798630 3452837.116000
-1552238.783466 -26349564.068011 3138798.839896
-1524280.169777 -26386133.597954 2824094.459878
-1496584.804486 -26418911.957767 2508790.718079
-1469101.711175 -26447890.057998 2192954.493228
-1441779.757601 -26473060.154601 1876652.786593
-1414567.683488 -26494415.852498 1559952.707881
-1387414.128379 -26511952.108515 1242921.461125
-1360267.659554 -26525665.233704 925626.330524
-1333076.799986 -26535552.895049 608134.666266
-1305790.056333 -26541614.116542 290513.870335
-1278355.946941 -26543849.279647 -27168.617714
-1250723.029852 -26542260.123136 -344845.334987
-1222839.930807 -26536849.742304 -662448.809503
-1194655.371216 -26527622.587565 -979911.574451
-1166118.196097 -26514584.462423 -1297166.182457
-1137177.401966 -26497742.520824 -1614145.219860
-1107782.164658 -26477105.263884 -1930781.320980
-1077881.867071 -26452682.536007 -2247007.182398
-1047426.126822 -26424485.520377 -2562755.577215
-1016364.823797 -26392526.733838 -2877959.369325
-984648.127583 -26356820.021166 -3192551.527654
-952226.524769 -26317380.548720 -3506465.140407
-919050.846101 -26274224.797493 -3819633.429287
-885072.293483 -26227370.555560 -4131989.763696
-850242.466805 -26176836.909915 -4443467.674918
-814513.390587 -26122644.237721 -4754000.870271
-777837.540428 -26064814.196956 -5063523.247239
-740167.869241 -26003369.716479 -5371968.907561
-701457.833273 -25938334.985503 -5679272.171299
-661661.417881 -25869735.442493 -5985367.590859
-620733.163070 -25797597.763482 -6290189.964974
-578628.188759 -25721949.849826 -6593674.352647
-535302.219784 -25642820.815384 -6895756.087042
-490711.610615 -25560240.973147 -7196370.789332
-444813.369767 -25474241.821314 -7495454.382488
-397565.183914 -25384856.028812 -7792943.105019
-348925.441675 -25292117.420295 -8088773.524649
-298853.257066 -25196060.960587 -8382882.551932
-247308.492613 -25096722.738624 -8675207.453810
-194251.782106 -24994139.950855 -8965685.867092
-139644.552985 -24888350.884151 -9254255.811872
-83449.048354 -24779394.898199 -9540855.704870
-25628.348593 -24667312.407411 -9825424.372699
33853.607412 -24552144.862339 -10107901.065047
95032.001463 -24433934.730621 -10388225.467780
157941.115662 -24312725.477451 -10666337.715967
222614.312446 -24188561.545594 -10942178.406802
289084.015075 -24061488.334955 -11215688.612449
357381.688561 -23931552.181696 -11486809.892783
427537.821061 -23798800.336938 -11755484.308043
499581.905737 -23663280.945032 -12021654.431376
573542.423100 -23525043.021420 -12285263.361285
649446.823834 -23384136.430104 -12546254.733971
727321.512122 -23240611.860718 -12804572.735565
807191.829474 -23094520.805226 -13060162.114248
889082.039066 -22945915.534253 -13312968.192260
973015.310604 -22794849.073054 -13562936.877792
1059013.705716 -22641375.177149 -13810014.676754
1147098.163870 -22485548.307614 -14054148.704430
1237288.488853 -22327423.606060 -14295286.696999
1329603.335781 -22167056.869293 -14533377.022936
1424060.198680 -22004504.523686 -14768368.694276
1520675.398622 -21839823.599259 -15000211.377749
1619464.072433 -21673071.703487 -15228855.405782
1720440.161976 -21504306.994853 -15454251.787360
1823616.404013 -21333588.156145 -15676352.218743
1929004.320656 -21160974.367523 -15895109.094049
2036614.210407 -20986525.279363 -16110475.515682
2146455.139790 -20810300.984893 -16322405.304619
2258534.935593 -20632361.992628 -16530853.010543
2372860.177704 -20452769.198624 -16735773.921823
2489436.192562 -20271583.858570 -16937124.075341
2608267.047215 -20088867.559708 -17134860.266159
2729355.543998 -19904682.192627 -17328940.057026
2852703.215824 -19719089.922915 -17519321.787727
2978310.322102 -19532153.162699 -17705964.584259
3106175.845270 -19343934.542090 -17888828.367851
3236297.487960 -19154496.880524 -18067873.863805
3368671.670790 -18963903.158047 -18243062.610173
3503293.530777 -18772216.486524 -18414356.966254
3640156.920389 -18579500.080809 -18581720.120927
3779254.407221 -18385817.229880 -18745116.100792
3920577.274306 -18191231.267956 -18904509.778143
4064115.521056 -17995805.545604 -19059866.878756
4209857.864830 -17799603.400863 -19211153.989491
4357791.743142 -17602688.130382 -19358338.565713
4507903.316492 -17405122.960603 -19501388.938523
4660177.471824 -17206971.018986 -19640274.321804
4814597.826624 -17008295.305304 -19774964.819072
4971146.733627 -16809158.663017 -19905431.430135
5129805.286164 -16609623.750731 -20031646.057566
5290553.324122 -16409753.013776 -20153581.512965
5453369.440525 -16209608.655886 -20271211.523042
5618230.988735 -16009252.611032 -20384510.735485
5785114.090260 -15808746.515383 -20493454.724641
5953993.643181 -15608151.679445 -20598019.996982
6124843.331177 -15407529.060359 -20698183.996385
6297635.633155 -15206939.234400 -20793925.109188
6472341.833481 -15006442.369665 -20885222.669058
6648932.032800 -14806098.198984 -20972056.961638
6827375.159445 -14605965.993056 -21054409.228996
7007638.981433 -14406104.533820 -21132261.673860
7189690.119029 -14206572.088088 -21205597.463640
7373494.057895 -14007426.381439 -21274400.734244
7559015.162793 -13808724.572389 -21338656.593679
7746216.691850 -13610523.226862 -21398351.125439
7935060.811384 -13412878.292952 -21453471.391673
8125508.611257 -13215845.076013 -21504005.436151
8317520.120791 -13019478.214067 -21549942.286998
8511054.325188 -12823831.653562 -21591271.959220
8706069.182497 -12628958.625472 -21627985.457016
8902521.641080 -12434911.621764 -21660074.775862
9100367.657591 -12241742.372246 -21687532.904381
9299562.215454 -12049501.821790 -21710353.825998
9500059.343827 -11858240.107964 -21728532.520364
9701812.137048 -11668006.539058 -21742064.964574
9904772.774554 -11478849.572544 -21750948.134151
10108892.541260 -11290816.793954 -21755180.003818
10314121.848388 -11103954.896203 -21754759.548045
10520410.254741 -10918309.659358 -21749686.741376
10727706.488408 -10733925.930868 -21739962.558530
10935958.468891 -10550847.606266 -21725588.974287
11145113.329638 -10369117.610340 -21706568.963148
11355117.440983 -10188777.878804 -21682906.498776
11565916.433473 -10009869.340454 -21654606.553209
11777455.221566 -9832431.899836 -21621675.095858
11989678.027707 -9656504.420423 -21584119.092283
12202528.406746 -9482124.708316 -21541946.502744
12415949.270712 -9309329.496474 -21495166.280532
12629882.913906 -9138154.429478 -21443788.370082
12844271.038321 -8968634.048846 -21387823.704864
13059054.779367 -8800801.778891 -21327284.205055
13274174.731884 -8634689.913141 -21262182.774987
13489570.976449 -8470329.601327 -21192533.300386
13705183.105940 -8307750.836935 -21118350.645381
13920950.252361 -8146982.445343 -21039650.649307
14136811.113913 -7988052.072531 -20956450.123281
14352703.982289 -7830986.174388 -20868766.846571
14568566.770191 -7675810.006606 -20776619.562741
14784337.039048 -7522547.615175 -20680027.975590
14999952.026921 -7371221.827481 -20579012.744872
15215348.676595 -7221854.244006 -20473595.481805
15430463.663822 -7074465.230644 -20363798.744372
15645233.425717 -6929073.911629 -20249646.032403
15859594.189296 -6785698.163077 -20131161.782460
16073482.000126 -6644354.607157 -20008371.362504
16286832.751089 -6505058.606875 -19881301.066360
16499582.211236 -6367824.261489 -19749978.107976
16711666.054728 -6232664.402554 -19614430.615476
16923019.889831 -6099590.590590 -19474687.625015
17133579.287973 -5968613.112384 -19330779.074426
17343279.812835 -5839740.978926 -19182735.796675
17552057.049464 -5712981.923972 -19030589.513112
17759846.633400 -5588342.403248 -18874372.826526
17966584.279790 -5465827.594279 -18714119.214009
18172205.812493 -5345441.396858 -18549863.019624
18376647.193145 -5227186.434141 -18381639.446881
18579844.550183 -5111064.054386 -18209484.551025
18781734.207796 -4997074.333307 -18033435.231133
18982252.714819 -4885216.077069 -17853529.222033
19181336.873522 -4775486.825910 -17669805.086027
19378923.768303 -4667882.858381 -17482302.204442
19574950.794262 -4562399.196220 -17291060.768998
19769355.685647 -4459029.609841 -17096121.772994
19962076.544152 -4357766.624439 -16897527.002324
20153051.867059 -4258601.526719 -16695319.026316
20342220.575205 -4161524.372224 -16489541.188402
20529522.040768 -4066523.993279 -16280237.596613
20714896.114848 -3973588.007537 -16067453.113913
20898283.154846 -3882702.827120 -15851233.348368
21079624.051602 -3793853.668359 -15631624.643145
21258860.256311 -3707024.562121 -15408674.066363
21435933.807175 -3622198.364717 -15182429.400776
21610787.355800 -3539356.769392 -14952939.133305
21783364.193303 -3458480.318388 -14720252.444418
21953608.276146 -3379548.415566 -14484419.197357
22121464.251653 -3302539.339598 -14245489.927225
22286877.483221 -3227430.257702 -14003515.829913
22449794.075201 -3154197.239931 -13758548.750901
22610160.897441 -3082815.273995 -13510641.173912
22767925.609479 -3013258.280616 -13259846.209423
22923036.684374 -2945499.129408 -13006217.583057
23075443.432161 -2879509.655268 -12749809.623824
23225096.022925 -2815260.675280 -12490677.252253
23371945.509477 -2752722.006114 -12228875.968380
23515943.849625 -2691862.481911 -11964461.839629
23657043.928021 -2632649.972659 -11697491.488558
23795199.577594 -2575051.403027 -11428022.080499
23930365.600529 -2519032.771674 -11156111.311077
24062497.788808 -2464559.171002 -10881817.393621
24191552.944290 -2411594.807353 -10605199.046463
24317488.898327 -2360103.021639 -10326315.480131
24440264.530894 -2310046.310395 -10045226.384447
24559839.789246 -2261386.347241 -9761991.915516
24676175.706067 -2214084.004746 -9476672.682621
24789234.417130 -2168099.376681 -9189329.735029
24898979.178430 -2123391.800652 -8900024.548698
25005374.382808 -2079919.881097 -8608819.012907
25108385.576045 -2037641.512643 -8315775.416792
25207979.472419 -1996513.903803 -8020956.435806
25304123.969719 -1956493.601011 -7724425.118101
25396788.163712 -1917536.512970 -7426244.870834
25485942.362054 -1879597.935313 -7126479.446397
25571558.097632 -1842632.575561 -6825192.928587
25653608.141345 -1806594.578360 -6522449.718706
25732066.514305 -1771437.550996 -6218314.521594
25806908.499457 -1737114.589159 -5912852.331614
25878110.652618 -1703578.302963 -5606128.418570
25945650.812918 -1670780.843193 -5298208.313577
26009508.112649 -1638673.927769 -4989157.794887
26069662.986516 -1607208.868426 -4679042.873656
26126097.180272 -1576336.597579 -4367929.779682
26178793.758762 -1546007.695374 -4055884.947090
26227737.113339 -1516172.416900 -3742974.999995
26272912.968673 -1486780.719564 -3429266.738115
26314308.388938 -1457782.290593 -3114827.122370
26351911.783379 -1429126.574678 -2799723.260442
26385712.911255 -1400762.801716 -2484022.392320
26415702.886159 -1372640.014664 -2167791.875815
26441874.179703 -1344707.097469 -1851099.172070
26464220.624582 -1316912.803076 -1534011.831046
26482737.417002 -1289205.781492 -1216597.477000
26497421.118482 -1261534.607895 -898923.793959
26508269.657018 -1233847.810774 -581058.511186
26515282.327619 -1206093.900084 -263069.388646
26518459.792214 -1178221.395407 54975.797527
26517804.078917 -1150178.854102 373009.269555
26513318.580673 -1121914.899427 690963.262537
26505008.053265 -1093378.248630 1008770.038952
26492878.612696 -1064517.740980 1326361.903153
26476937.731945 -1035282.365741 1643671.215839
26457194.237093 -1005621.290057 1960630.408514
26433658.302830 -975483.886758 2277171.997904
26406341.447337 -944819.762045 2593228.600372
26375256.526556 -913578.783067 2908732.946277
26340417.727836 -881711.105360 3223617.894319
26301840.562978 -849167.200140 3537816.445836
26259541.860660 -815897.881435 3851261.759068
26213539.758268 -781854.333051 4163887.163373
26163853.693119 -746988.135344 4475626.173400
26110504.393095 -711251.291800 4786412.503216
26053513.866684 -674596.255398 5096180.080376
25992905.392429 -636975.954754 5404863.059941
25928703.507805 -598343.820025 5712395.838439
25860933.997521 -558653.808563 6018713.067766
25789623.881241 -517860.430311 6323749.669020
25714801.400761 -475918.772923 6627440.846272
25636496.006611 -432784.526597 6929722.100269
25554738.344119 -388414.008609 7230529.242060
25469560.238930 -342764.187545 7529798.406553
25380994.681981 -295792.707200 7827466.065989
25289075.813962 -247457.910153 8123469.043341
25193838.909241 -197718.860997 8417744.525623
25095320.359289 -146535.369207 8710230.077123
24993557.655590 -93868.011651 9000863.652538
24888589.372063 -39678.154718 9289583.610021
24780455.146987 16072.023942 9576328.724137
24669195.664460 73419.514069 9861038.198721
